author_id_1	author_id_2	author_name_1	author_name_2
14381	14381	agnes roby-brami	agnes roby-brami
14483	14485	agnieszka dardziska	agnieszka dardzinska
18094	18097	ahamd hasnah	ahmad hasnah
17733	12315	ahn ngoc vo	anh ngoc vo
12314	12315	ahn ngoc vo	vo ngoc anh
5738	5747	ai-chiao ku	ai chiao ku
2745	5513	akkihebba l. ananda	akkihebbal l. ananda
11497	11481	alan f. blackwell	alan f. backwell
298	367	alan schultz	alan c. schultz
11727	17015	albert l. sangiovanni-vincentelli	alberto l. sangiovanni-vincentelli
3635	3635	alberto garcia ortiz	alberto garcia ortiz
11662	11682	alessando orso	alessandro orso
13223	13232	alessandro barbesi	alessandro barabesi
3260	3191	alessandro f. garcia	alessandro garcia
12957	12962	alessndra fanni	alessandra fanni
8969	9013	alex a. freitas	alex alves freitas
16394	17315	alex a. shvartsman	alexander a. shvartsman
5893	5901	alex aleta	alex alete
17545	17560	alex garthwaite	alexander t. garthwaite
1814	4293	alex nicolau	alexandru nicolau
1514	1514	alex ramirez	alex ramirez
13323	13330	alex reche-martinez	alex reche martinez
19210	8151	alex z. zelikovsky	a. zelikovsky
1803	8151	alex z. zelikovsky	alexander z. zelikovsky
1772	8151	alex z. zelikovsky	alexander zelikovsky
15167	15176	alexander a. golbraikh	alexander golbraikh
21187	21177	alexander a. sawchuk	alexander a. sawchuck
931	19053	alexander gelbukh	alexander f. gelbukh
20154	20156	alexander voisin	alexandre voisin
18461	18470	alexander yeh	alexander s. yeh
19210	1803	alexander z. zelikovsky	a. zelikovsky
1772	1803	alexander z. zelikovsky	alexander zelikovsky
3560	3597	alison noble	j. alison noble
12046	12051	almericop murli	almerico murli
6259	15789	alok chourdary	alok n. choudhary
7107	3080	alon y. levy	alon y. halevy
5781	5781	aluizio f. r. araujo	aluizio f. r. araujo
5781	12338	aluzio f. r. araujo	aluizio f. r. araujo
5781	12338	aluzio f. r. araujo	aluizio f. r. araujo
10653	10697	amber roy-chowdhury	amber-roy chowdhury
7206	7211	amo elmasry	amr elmasry
7805	7812	ana arruarte arruarte	ana arruarte lasa
14532	14535	ana belen martinez prieto	a. b. martinez prieto
8955	15601	ana garcia fornes	ana garcia-fornes
4457	4495	anan rangarajan	anand rangarajan
8637	18165	andre carlos ponce leon ferreira de lucimar f. de carvalho	a. de carvalho
8612	18165	andre carlos ponce leon ferreira de lucimar f. de carvalho	andre carlos ponce leon ferreira de carvalho
396	401	andre l. battaiola	andre luiz battaiola
9819	9845	andree dehon	andre dehon
19635	19638	andrees aguayo	andres aguayo
7868	7868	andres suarez-gonzalez	andres suarez-gonzalez
6855	6893	andrew johnson	andrew e. johnson
19940	19939	andrew t. kwon	andrew tae-jun kwon
5050	5059	andy keane	andy j. keane
20943	20946	andy kehler	andrew kehler
2307	2307	angel rodriguez-vazquez	angel rodriguez-vazquez
2307	20208	angel. rodriguez-vazquez	angel rodriguez-vazquez
2307	20208	angel. rodriguez-vazquez	angel rodriguez-vazquez
14178	21133	angela e. s. goh	angela goh
15340	15341	angelo restificar	angelo c. restificar
15574	15578	angelos mihalas	angelos michalas
12314	17733	anh ngoc vo	vo ngoc anh
18542	18520	anil s. rao	anil rao
20365	20376	anirudh devgana	anirudh devgan
2282	2288	anke meyer-baese	anke meyer-base
19497	19508	ann p. massey	anne p. massey
15292	15296	anne-marie croteaul	anne-marie croteau
18074	18089	anneliese amscher andrews	anneliese amschler andrews
10709	10664	anshuman nayak	a. nayak
7743	19914	anthony k. h. tong	anthony k. h. tung
14734	14732	antonio a. f. oliveira	antonio de oliveira
8426	8425	antonio marti	antonio marti vicente santonja
6133	6143	antonio virgillito	antonino virgillito
7673	18679	aoying zhous	aoying zhou
16649	17695	arantza diaz de ilarraza	arantza diaz de ilarraza sanchez
12232	12222	ari musriami barmawi	ari moesriami barmawi
3900	3946	arkady zaslasvky	arkady b. zaslavsky
18683	18683	arnaldo de albuquerque araujo	arnaldo de albuquerque araujo
20181	20159	arne k. sandvik	arne k. sandovik
20166	20159	arne k. sandvik	arne k. sanvik
20181	20166	arne k. sanvik	arne k. sandovik
7400	7465	arnon s. rosenthal	arnon rosenthal
5735	5745	arr-ming chou	arr-mien chou
8639	8642	ashely bush	ashley bush
8897	8894	athanasios k. tsadiras	athansios k. tsadiras
15146	15157	atilla gursoy	attila gursoy
3182	3184	attlila gyenesei	attila gyenesei
5272	5286	auguin michel	michel auguin
2992	3113	avi silberschatz	abraham silberschatz
19181	19181	aybuke aurum	aybuke aurum
17105	17105	ayca tarhan	ayca tarhan
19519	19520	b chandra	b. chandra
18269	1458	b. b. sanugi	bahrom sanugi
16193	16201	b. benware	brady benware
4152	4176	b. c. desal	bipin c. desai
8411	8414	b. canet	bernard canet
5636	5642	b. carpentieri	bruno carpentieri
3661	3668	b. d. o. anderson	brian d. o. anderson
8124	8129	b. e. prasad	bandreddi e. prasad
7090	7096	b. fei	baowei fei
15590	15594	b. g. aguiar neto	benedito g. aguiar neto
16121	16122	b. gottfried	bjorn gottfried
222	227	b. hernandez	begona hernandez
1979	1975	b. j. chandler	brian j. chandler
6801	10841	b. j. garner	brian j. garner
4388	15989	b. j. lings	brian lings
21178	21188	b. k. jenkins	bob k. jenkins
11353	11355	b. kumar dey	bikash kumar dey
1339	1351	b. kwon	boseob kwon
6493	6506	b. ma	burton ma
5975	5980	b. mazer	e. mazer
5989	5980	b. mazer	emmanuel mazer
10124	10132	b. silvi	bernard silvi
13635	13637	b. turchiano	biagio turchiano
2258	2266	b. vandenbosch	betty vandenbosch
18254	18260	b. verma	brijesh verma
18535	18537	b. vijaykumar	b. vijayakumar
12684	12688	b. w. fordan jr.	b. w. jordan jr.
8674	8659	baihua zheng	baibua zheng
8378	8392	bala kalayansundaram	bala kalyanasundaram
13251	13251	balazs szorenyi	balazs szorenyi
7727	7737	barry richmond	barry j. richmond
2482	5053	barry tao	feng tao
19842	19830	ben anderson	b. anderson
7876	7900	ben j. a krose	ben j. a. krose
14115	14118	benjamin rodrigues de menezes	benjamim r. de menezes
1560	1557	benn m. lines	benn lines
10346	10364	bernadette doizzi	bernadette dorizzi
14424	14445	bernard buxton	bernard f. buxton
8870	8873	bernd michael kirstein	bernd-michael kirstein
15991	16014	berni schiefer	k. bernhard schiefer
20862	20863	bertrand thierion	bertrand thirion
7657	7648	bhaskar dasgupta	b. dasgupta
21264	21269	bijan sayyarodsari	bijan sayyarrodsari
20864	20873	bikramit banerjee	bikramjit banerjee
10451	10434	bill allcock	william e. allcock
3730	3773	bill buxton	william buxton
12964	12966	bill hutchinson	william hutchinson
4389	4389	bjorn lundell	bjorn lundell
7766	7781	bob day	r. a. day
7776	7781	bob day	robert a. day
4298	4311	bob spence	robert spence
5317	6746	bob zmud	robert w. zmud
18132	18136	bogdan tanas	bogdan tanasa
2747	2751	boon peng lee	lee boon peng
3127	3129	brent gallupe	r. brent gallupe
4645	4652	brian butler	brian s. butler
10423	10459	brian l. tierney	brian tierney
14682	14687	brian lovell	brian c. lovell
8326	8340	brian m. matthews	brian matthews
12774	12787	brian vanvoorst	brian van voorst
6623	6629	bruce porter	bruce w. porter
20772	20781	bruce richmond	l. bruce richmond
3623	3625	bruce weber	bruce w. weber
16127	16127	bruno feijo	bruno feijo
20789	20793	byung kyu choi	byung-kyu choi
5080	5115	byung s. lee	byung suk lee
9515	9517	c. a. glasbey	chris a. glasbey
212	212	c. aleman	c. aleman
223	212	c. aleman	carlos aleman
223	212	c. aleman	carlos aleman
3775	3780	c. andrieu	christophe andrieu
5825	5832	c. balbuena	camino balbuena
13947	18547	c. barret	claude barret
17033	17034	c. barron	carlos barron
2587	2614	c. baru	chaitanya k. baru
523	532	c. c. chang	chin-chen chang
10378	10395	c. c. woo	carson c. woo
16431	10395	c. c. woo	carson woo
20795	20798	c. choisy	christophe choisy
14731	14744	c. esperanca	claudio esperanca
18201	18209	c. f. beaulieu	christopher f. beaulieu
4626	4621	c. fonseca guerra	celia fonseca guerra
13974	13990	c. fox	chris fox
20813	20821	c. friedrich	carsten friedrich
524	531	c. h. lin	chu-hsing lin
20809	20812	c. i. grima	clara i. grima
810	825	c. j. moore	christopher j. moore
19399	19406	c. j. perez-vicente	c. j. perez vicente
19279	19291	c. krishna	c. mani krishna
10215	8221	c. l. liu	c. l. (dave) liu
20592	20626	c. m. cheng	chien-ming cheng
6433	6436	c. m. lee	chuan-min lee
5840	5853	c. m. li	chu min li
5372	5378	c. meunier	claude meunier
8861	16144	c. roncancio	claudia roncancio
6038	6028	c. ross	charlie ross
17098	17101	c. seel	christian seel
2254	17995	c. steele	nigel c. steele
2249	17995	c. steele	nigel steele
9636	9632	c. stone	chris stone
16065	16078	c. v. ravishankar	chinya v. ravishankar
15313	15303	c. van alsenoy	christian van alsenoy
9578	9583	c. w. dawson	christian w. dawson
3273	3276	c. w. liew	chun wai liew
1667	1678	c. w. tao	chin-wang tao
10395	13270	c. woo	c. c. woo
10378	13270	c. woo	carson c. woo
16431	13270	c. woo	carson woo
11504	11516	c. y. chrisment	claude chrisment
17440	1086	c. zhang	chengqi zhang
11754	11750	c. zoccolo	corrado zoccolo
18700	18685	camillo j. s. oliveira	camillo jorge santos oliveira
9363	11294	cao jing	jing cao
12897	12905	carl kadie	carl myers kadie
18687	18701	carlos alberto severiano jr.	carlos a. severiano jr.
3188	3261	carlos lucena	carlos jose pereira de lucena
12604	12611	carlos marques	carlos f. marques
4909	4894	carol harger	c. harger
1055	1066	carole delport-gallet	carole delporte-gallet
10378	16431	carson woo	carson c. woo
13807	21199	cauligi raghavendra	c. s. raghavendra
18919	21423	cecil chua	cecil eng huang chua
18917	21423	cecil chua	chua eng huang cecil
18917	18919	cecil eng huang chua	chua eng huang cecil
1852	1852	cecile fabre	cecile fabre
15357	15363	ch. steger	christian steger
18117	18119	chang shui zhang	chang-shui zhang
7336	5292	chang yanxun	yanxun chang
5196	17731	chang-ning huang	changning huang
7224	7230	chanjie wang	changjie wang
20955	21005	charles l. hansen	charles d. hansen
9225	9237	charles rosenberg	charles r. rosenberg
6967	6974	chaur heh hsieh	chaur-heh hsieh
12284	12286	chen daoxu	daoxu chen
9238	9240	chen haiming	haiming chen
20444	20453	chew kiat heng	chew-kiat heng
5357	14340	chi sing leung	andrew chi-sing leung
5364	14340	chi sing leung	chi-sing leung
17990	17994	chi-hsu wnag	chi-hsu wang
5732	5744	chi-nung chu	chi nung chu
5357	5364	chi-sing leung	andrew chi-sing leung
5746	5737	chih chen hui	chin-chen hui
9212	9188	chin lung lu	chin l. lu
4918	4908	chris a. fields	c. fields
12762	2265	chris higgins	christopher a. higgins
12132	12130	christian brechbuhler	ch. brechbuehler
2518	2524	christina leslie	christina s. leslie
2074	2078	christine montgomery	christine a. montgomery
11459	11466	christine wallace	chris s. wallace
2472	9217	chuan-yi tang	chuan yi tang
12471	12472	chyan goei chung	chyan-goei chung
18448	18448	ciaran bryce	ciaran bryce
7216	7223	cladio l. lucchesi	claudio l. lucchesi
8603	8610	claus braband	claus brabrand
596	1079	clement yu	clement t. yu
12648	12656	cliff grossner	clifford grossner
630	632	codrin nichitiu	codrin m. nichitiu
11627	11628	constant virgil negoita	constantin virgil negoita
6978	6990	craig chase	craig m. chase
17607	17643	cristian s. calude	cristian calude
3264	3272	cristina s. murta	cristina d. murta
13254	13255	crzegorz protaziuk	grzegorz protaziuk
11446	11490	curtis cook	curtis r. cook
9068	9081	d. a. edwards	david a. edwards
17111	17113	d. a. karras	dimitris a. karras
5258	5269	d. b. gurov	dilian gurov
15914	15938	d. carlson	david a. carlson
4890	4913	d. crowley	david crowley
8945	8951	d. e. leidner	dorothy e. leidner
3275	3277	d. e. smith	donald e. smith
1437	14616	d. evans	d. j. evans
1428	14616	d. evans	david j. evans
13526	13537	d. f. gillies	duncan fyfe gillies
13103	13112	d. g. vorobiev	d. g. vorobyev
13093	13112	d. g. vorobiev	d. v. vorobiev
13093	13103	d. g. vorobyev	d. v. vorobiev
608	1578	d. h. du	david hung-chang du
1428	1437	d. j. evans	david j. evans
12917	12925	d. l. neuhoff	david l. neuhoff
1884	1915	d. laforenza	domenico laforenza
15404	15407	d. leclet	dominique leclet
1522	21443	d. m. carter	david carter
1520	21443	d. m. carter	david m. carter
12210	20738	d. mange	daniel mange
18589	18592	d. muthiaye	d. muthiayen
20659	20662	d. r. shier	douglas r. shier
20850	20855	d. skuce	douglas r. skuce
18892	18904	d. sorensen	danny c. sorensen
2854	6094	d. soudris	dimitrios soudris
7668	15681	d. z. du	ding-zhu du
18764	18718	daewoo chung	deawoo chung
7095	3568	dale l. wilson	david l. wilson
7763	7786	dale sutcliffe	dale c. sutcliffe
6525	6533	damian cirotteau	damien cirotteau
2426	2427	dan benyamin	d. benyamin
10522	10526	daniel carter	dan carter
15907	15898	daniel d. zeng	daniel dajun zeng
1067	1069	daniel hermann	daniel herman
12237	13070	daniel laurent	dominique laurent
12451	13043	daniel menasce	daniel a. menasce
18618	18625	daniel pak-kong lu	daniel pak-kong lun
18711	18686	daniel ribeiro gomes	daniel r. gomes
10255	10272	daniele beauquire	daniele beauquier
6020	6056	darrell whitley	l. darrell whitley
1372	1384	dave andersen	david g. andersen
4504	4528	dave ingham	david b. ingham
18330	18328	dave powers	david powers
2294	2304	david allstot	david j. allstot
1520	1522	david carter	david m. carter
8771	8773	david cohen	david a. cohen
4006	4034	david forsyth	david a. forsyth
8727	2965	david g. kirkpatrick	j. david kirkpatrick
19023	12308	david g. lowe	david lowe
6870	6903	david haas	dave haas
18517	18543	david kriegman	david j. kriegman
18360	18362	david liu	david t. liu
18279	18279	david martinez	david martinez
21398	21398	david mazieres	david mazieres
8153	8161	david morse	david r. morse
14333	14339	david p. gilliarn	david p. gilliam
18208	18205	david paik	d. paik
4927	4902	david rider	d. rider
10657	11943	david t. blaauw	david blaauw
12113	12084	david taylor	david j. taylor
14587	14592	dean lorenz	dean h. lorenz
9564	17702	demetrios g. sampson	dimitrios sampson
17702	17714	demetrios sampson	demetrios g. sampson
2943	2979	derek gorden corneil	derek g. corneil
20557	20629	dhabaleswar panda	dhabaleswar k. panda
8648	8711	dik-lun lee	dik lun lee
8428	8455	dimiter avresky	dimiter r. avresky
714	738	dimitirios m. thilikos	dimitrios m. thilikos
20685	20721	dimitrios gunopoulos	dimitrios gunopulos
17714	9564	dimitrios sampson	demetrios sampson
4541	4543	dimitris rigas	dimitris i. rigas
10528	10536	din ding	qin ding
3368	3381	dinesh p mital	dinesh p. mital
10536	12293	ding qin	din ding
10528	12293	ding qin	qin ding
20102	20118	doborah knox	deborah knox
12789	12792	don shaw	donald b. shaw
17075	17075	donal b. downey	donal b. downey
20802	20805	donald bitzer	donald l. bitzer
2636	2644	donald c. wunsch ii	donald c. wunsch
19003	19006	donald o. case	donald owen case
18739	18749	dong-soo han	dongsoo han
2143	9791	doug r. vogel	douglas r. vogel
7351	7380	drew mcdermott	drew v. mcdermott
15236	15231	dunren che	duren che
2709	2739	dz-ching ju	roy dz-ching ju
20213	20220	e. barta	endre barta
14308	14305	e. braun	elke braun
9644	9657	e. bruzzone	elisabetta bruzzone
19534	19546	e. chouraqui	eugene chouraqui
4891	4914	e. dickinson	emily dickinson
19593	1451	e. galligani	emanuele galligani
11396	11403	e. grazzini	elisabetta grazzini
10873	16503	e. haghverdi	esfandiar haghverdi
104	4620	e. j. baerends	evert-jan baerends
6305	6309	e. omana-pulido	elsa omana-pulido
467	479	e. s. lee	e. stewart lee
17398	17419	e. s. sogomonjan	egor s. sogomonyan
17030	17027	e. schmutz	eric schmutz
4038	4051	e. stella	ettore stella
16019	16032	e. t. rolls	edmund t. rolls
16779	16770	e. todorovich	elias todorovich
5956	5992	e.-g. talbi	el-ghazali talbi
7843	7848	edgar koerner	edgar korner
2887	2877	edson caceres	e. n. caceres
5325	5326	edward williams	edward michael williams
13332	13336	ejlali ghassem miremadi	seyed ghassem miremadi
12980	12985	elder m. hemerly	elder moreira hemerly
17104	17104	elif demirors	elif demirors
5871	5874	elizabeth j. davidson	elizabeth davidson
3708	3709	emilio alba conejo	emilio alba-conejo
5975	5989	emmanuel mazer	e. mazer
19710	19719	erhard hinrichs	erhard w. hinrichs
14503	7827	eric anderson	eric j. anderson
3622	1745	eric grimason	e. grimson
1038	1745	eric grimason	w. eric l. grimson
3622	8324	eric grimson	e. grimson
1745	8324	eric grimson	eric grimason
1038	8324	eric grimson	w. eric l. grimson
7425	7467	eric r. hughes	eric hughes
15516	20914	erik hagerstern	erik hagersten
7567	7594	erkki oja1	erkki oja
5480	5483	ernesto costa	ernesto jorge costa
13361	13366	ernst schuegraf	ernst j. schuegraf
18402	18413	eunice santos	eunice e. santos
8952	8952	eva onaindia	eva onaindia
8029	8031	evgenia d. popova	evgenija d. popova
17644	17646	ewa malesiska	ewa malesinska
7259	7269	ezra w. black	ezra black
11772	11774	f. al-balooshi	fawzi albalooshi
20184	20187	f. albert	francisco albert
18066	18069	f. alvarez garcia	fernando alvarez garcia
5252	5256	f. barthelemy	francois barthelemy
20097	20099	f. bennis	fouad bennis
14140	14138	f. biennier	frederique biennier
16513	16531	f. deturck	filip de turck
19857	19864	f. devos	francis devos
18181	18190	f. drews	frank drews
18921	18924	f. fekri	faramarz fekri
208	210	f. j. luque	f. javier luque
14641	14651	f. lamperti	gianfranco lamperti
6722	6725	f. m. goncalves	fernando m. goncalves
685	688	f. mazzanti	franco mazzanti
2483	2510	f. murtagh	fionn murtagh
12479	12493	f. rousselot	francois rousselot
669	675	f. s. salman	f. sibel salman
4182	4170	f. sadri	fereidoon sadri
15963	15969	f. samson	franck samson
20829	20824	f. schreiber	falk schreiber
10994	10997	f. sgallari	fiorella sgallari
2306	2322	f. v. fernandez	francisco v. fernandez
18381	14902	f. wang	feiyi wang
1143	1177	fabio honsell	furio honsell
20378	20386	fayez el-guibaly	fayez el guibaly
17970	17970	felix garcia	felix garcia
20288	20291	felix v. hundelshausen	felix von hundelshausen
32	44	feng dengguo	dengguo feng
2660	2675	fengzhu su	fengzhu sun
17273	17289	fernando g. moraes	fernando gehm moraes
12988	12993	fernando s. osorio	fernando santos osorio
2244	2246	filipe c. da costa	filipe correa da costa
4145	4145	flavio keidi miyazawa	flavio keidi miyazawa
9160	3557	flavio rech wagner	flavio r. wagner
1023	3612	florin talos	ion-florin talos
5640	5641	francesco rizzo	f. rizzo
18418	18418	francisco gomez	francisco gomez
1128	1134	francisco j. diez	francisco javier diez
14531	14536	francisco ortin	francisco ortin soler
13549	13550	francisco reverbell	francisco reverbel
17140	2306	francisco v. fernandez	francisco fernandez de vega
10325	10325	francois guimbretiere	francois guimbretiere
5125	5125	francois-xavier standaert	francois-xavier standaert
3961	3964	frand m. candocia	frank m. candocia
9549	14467	frank boutault	franck boutault
9792	9799	frank f. francone	frank d. francone
12829	19071	frank m. shipman	frank m. shipman iii
19071	12863	frank shipman	frank m. shipman
12829	12863	frank shipman	frank m. shipman iii
18936	18930	frank z. smadja	frank a. smadja
16210	16211	fred brown	alfred l. brown
17985	17988	fred davis	fred d. davis
3533	3551	fred wu	frederick wu
9304	9304	frederic mulatero	frederic mulatero
9030	9030	frederic petrot	frederic petrot
9676	9676	frederic vernier	frederic vernier
20390	20443	fumio miyasaki	fumio miyazaki
1158	1178	furio alessi	fabio alessi
7560	7564	g. al-hayek	ghassan al hayek
2340	2347	g. berger sabbatel	gilles berger-sabbatel
7329	7331	g. canals	gerome canals
7231	7246	g. cardarilli	g. c. cardarilli
14605	14613	g. cavalheiro	gerson g. h. cavalheiro
12690	12696	g. di stefano	gabriele di stefano
8405	8409	g. dragffy	gabriel dragffy
8874	8885	g. ferrari	giacomo ferrari
5290	5295	g. ge	gennian ge
13534	13534	g. gomez	g. gomez
614	618	g. goncalves	gilles goncalves
20233	20238	g. hutton	graham hutton
21012	21025	g. j. michaelson	greg michaelson
15437	15445	g. jakse	g. jaske
13188	13191	g. jimenez	gabriel jimenez
9800	9805	g. kormentzas	george kormentzas
12041	18680	g. laccetti	giuliano laccetti
10173	10165	g. leguizamon	guillermo leguizamon
8356	8376	g. nicolescu	gabriela nicolescu
3929	3923	g. p. martin	g. m. martin
7126	7134	g. palumbo	gaetano palumbo
14668	14673	g. s. ng	geok see ng
13867	13871	g. sabbagh	gabriel sabbagh
1768	1459	g. spaletta	giulia spaletta
7957	7955	g. taricco	giorgio taricco
11380	11394	g. valetto	giuseppe valetto
21215	21220	g. waters	a. gill waters
15405	15408	g. weidenfeld	gerard weidenfeld
15299	15306	g. wu	guang wu
19898	11024	g. zanon	guy zanon
9380	9407	g. zimmermann	gerhard zimmermann
19641	19650	gabi sonnenberger	gabriele sonnenberger
14460	14460	gabor retvari	gabor retvari
12119	12164	gabor sekely	gabor szekely
12731	919	gabriel gonzalez	gabriel gonzalez s.
5129	5129	gael rouvroy	gael rouvroy
9252	9265	galina v. orlova	galina orlova
17228	17254	garry cottrell	garrison w. cottrell
1921	1924	gary bundell	gary a. bundell
3893	3898	gemma bel-enguix	gemma bel enguix
17936	17940	geoff j. m. parker	geoffrey j. m. parker
1494	19822	geoff lowney	p. geoffrey lowney
12657	12664	geoffrey gordon	geoffrey j. gordon
2333	16648	geoges gielen	georges g. e. gielen
20210	16648	geoges gielen	georges gielen
2425	2397	george a. constantinides	george a. constantinidis
11703	11704	george mouradian	george v. mouradian
19194	19205	george n. reeke jr	george n. reeke jr.
14461	14462	george neville-nei	george neville-neil
3470	3487	george stockman	george c. stockman
2333	20210	georges gielen	georges g. e. gielen
18099	18099	geovane c. magalhaes	geovane c. magalhaes
2370	2370	geraldine morin	geraldine morin
14063	14063	gerard villermain lecolier	gerard villermain lecolier
14038	14053	gerd heyer	gerhard heyer
9407	14677	gerhard zimmerman	g. zimmermann
9380	14677	gerhard zimmerman	gerhard zimmermann
15319	15323	gianfranco moro	gianluca moro
11652	11661	giang shen	qiang shen
8023	8026	gigi kelly	gigi g. kelly
12682	12683	gilberto a. cysneiros	gilberto a. cysneiros filho
3311	3311	giuseppe patane	giuseppe patane
17347	3311	giuseppe patane	giuseppen patane
3311	17347	giuseppen patane	giuseppe patane
19428	20940	goga nicolae	n. goga
12614	20940	goga nicolae	nicolae goga
12623	20940	goga nicolae	nicu goga
18148	18159	gordon manson	gordon a. manson
5049	5056	graeme pound	graeme e. pound
4363	4377	graeme ritchie	graeme d. ritchie
5306	6018	graham a. julien	graham a. jullien
13151	17765	graham cameron	g. cameron
4372	4381	graham j. russel	graham j. russell
7539	4381	graham j. russel	graham russell
7539	4372	graham j. russell	graham russell
16097	16101	graham jared	graham e. m. jared
16966	5144	grand martin	grant martin
11186	11190	greg calbert	gregory calbert
19490	19492	gregory conti	gregory j. conti
2680	20849	gro bjerkness	gro bjerknes
2680	2683	gros bjerknes	gro bjerknes
13872	13872	guido araujo	guido araujo
18680	12045	guiliano laccetti	g. laccetti
12041	12045	guiliano laccetti	giuliano laccetti
915	915	guillermo rodriguez	guillermo rodriguez
12968	12974	guo-liang chen	guoliang chen
16793	16793	guy melancon	guy melancon
14947	14958	h. a. de jong	hayco de jong
13293	13300	h. c. bunt	harry bunt
1578	1583	h. c. du	d. h. du
608	1583	h. c. du	david hung-chang du
1579	1582	h. c. yen	s. h. yen
4939	4979	h. d. spence	hugh d. spence
7320	7314	h. h. kim	heunghwan kim
5222	5235	h. h. teo	hock-hai teo
7901	7946	h. iba	hitoshi iba
5585	5591	h. j. shyr	huei-jan shyr
12071	12110	h. l. lutfiyya	hanan lutfiyya
13131	13164	h. lehvaslaiho	heikki lehvaslaiho
12431	12407	h. levendel	haim levendel
11078	11086	h. lin	hai lin
5772	5776	h. maehara	hiroshi maehara
19187	18086	h. petersson	hakan petersson
14804	7039	h. r. rao	h. raghav rao
14324	14328	h. s. ranganath	heggere s. ranganath
4313	4317	h. s. seung	h. sebastian seung
14213	14237	h. schlichter	johann h. schlichter
2932	8467	h. wang	hua xiong wang
2914	8467	h. wang	huaxiong wang
16714	603	h. y. chen	huo yan chen
17195	17198	h. y. k. lau	henry y. k. lau
4442	4448	h. yan	hao yan
9277	10872	h. yenigun	husnu yenigun
15434	15430	h.-w. staudte	h.-w. straudte
18024	18033	haider ramadhan	haider ali ramadhan
15862	15872	hamid nawab	s. hamid nawab
15627	15629	han-shuh koo	han-suh koo
638	657	hank walker	d. m. h. walker
4454	4455	hannes hoge vilhjalmsson	hannes hogni vilhjalmsson
392	7173	harold thimbleby	harold w. thimbleby
9690	11698	harry scarbrough	harry scarborough
15773	15770	harsha s. nagesh	h. nagesh
9457	9457	hector geffner	hector geffner
14393	14398	hector gonzalez-banos	hector h. gonzalez-banos
18716	18782	hee-yong youn	hee yong youn
18211	18221	heinrich hussman	heinrich hussmann
6736	6748	heinz klein	heinz k. klein
15665	15654	hejiao huang	h.-j. huang
12278	12280	helen armstrong	helen l. armstrong
1407	1419	helen m. berman	helen berman
13654	13661	helen thomas	helen m. thomas
