name,nickname
hubert,hugh
hubert,hubert
ignatius,iggy
ignatius,nace
ignatius,nate
ignatius,natius
ignatius,ignatius
irene,rena
irene,irene
irving,irv
irving,irving
isaac,ike
isaac,zeke
isaac,isaac
isabel,bell
isabel,bella
isabel,belle
isabel,ib
isabel,issy
isabel,nib
isabel,nibby
isabel,tibbie
isabel,isabel
isabella,bella
isabella,belle
isabella,ib
isabella,issy
isabella,nib
isabella,nibby
isabella,tibbie
isabella,isabella
isabelle,bella
isabelle,belle
isabelle,ib
isabelle,issy
isabelle,nib
isabelle,nibby
isabelle,tibbie
isabelle,isabelle
isadora,dora
isadora,issy
isadora,isadora
isidore,izzy
isidore,isidore
jacob,jaap
jacob,jake
jacob,jay
jacob,jacob
jacobus,jacob
jacobus,jacobus
james,jamie
james,jem
james,jim
james,jimmie
james,jimmy
james,james
jamie,ben
jamie,jamie
jane,janie
jane,jean
jane,jennie
jane,jessie
jane,jane
janet,jan
janet,jessie
janet,janet
janice,jan
janice,janice
jean,jane
jean,jeannie
jean,jean
jeanette,janet
jeanette,jean
jeanette,jessie
jeanette,nettie
jeanette,jeanette
jeanne,jane
jeanne,jeannie
jeanne,jeanne
jedidiah,jed
jedidiah,jedidiah
jefferson,jeff
jefferson,sonny
jefferson,jefferson
jeffrey,geoff
jeffrey,jeff
jeffrey,jeffrey
jehiel,hiel
jehiel,jehiel
jemima,mima
jemima,jemima
jennifer,jennie
jennifer,jennifer
jeremiah,jereme
jeremiah,jerry
jeremiah,jeremiah
jerry,jereme
jerry,jerry
jessica,jessie
jessica,jessica
jim,jimmie
jim,jim
joan,jo
joan,nonie
joan,joan
joann,jo
joann,joann
joanna,hannah
joanna,jo
joanna,joan
joanna,jody
joanna,joanna
joanne,jo
joanne,joanne
jody,jo
jody,jody
joe,joey
joe,joe
johanna,jo
johanna,johanna
johannah,hannah
johannah,joan
johannah,jody
johannah,nonie
johannah,johannah
john,jack
john,jock
john,johnny
john,john
jon,john
jon,nathan
jon,jon
jonathan,john
jonathan,nathan
jonathan,jonathan
joseph,jody
joseph,joe
joseph,joey
joseph,jos
joseph,joseph
josephine,fina
josephine,jo
josephine,jody
josephine,joey
josephine,josey
josephine,josephine
joshua,jos
joshua,josh
joshua,joshua
josiah,jos
josiah,josiah
joyce,joy
joyce,joyce
juanita,nettie
juanita,nita
juanita,juanita
judson,jud
judson,sonny
judson,judson
julia,jill
julia,julie
julia,julia
julian,jule
julian,julian
julias,jule
julias,julias
julie,jule
julie,julie
junior,jr
junior,june
junior,junie
junior,junior
kasey,k.c.
kasey,kasey
kate,kay
kate,kate
katelin,kate
katelin,kay
katelin,kaye
katelin,katelin
katelyn,kate
katelyn,kay
katelyn,kaye
katelyn,katelyn
katherine,cassie
katherine,cathy
katherine,kate
katherine,kathy
katherine,katy
katherine,kay
katherine,kaye
katherine,kit
katherine,kittie
katherine,lena
katherine,trina
katherine,katherine
kathleen,cassie
kathleen,cathy
kathleen,kathy
kathleen,katy
kathleen,kay
kathleen,kit
kathleen,kittie
kathleen,lena
kathleen,trina
kathleen,kathleen
kathryn,kathy
kathryn,kathryn
katy,kathy
katy,katy
kendall,ken
kendall,kenny
kendall,kendall
kendrick,ken
kendrick,kenny
kendrick,kendrick
kenneth,ken
kenneth,kendrick
kenneth,kenny
kenneth,kenneth
kenny,ken
kenny,kenny
kent,ken
kent,kendrick
kent,kenny
kent,kent
keziah,kizza
keziah,kizzie
keziah,keziah
kimberley,kim
kimberley,kimberley
kimberly,kim
kimberly,kimberly
kingsley,king
kingsley,kingsley
kingston,king
kingston,kingston
kit,kittie
kit,kit
kris,chris
kris,kris
kristen,chris
kristen,kristen
kristin,chris
kristin,kristin
kristine,chris
kristine,christy
kristine,crissy
kristine,kris
kristine,kristy
kristine,tina
kristine,kristine
kristy,chris
kristy,kristy
lafayette,fate
lafayette,laffie
lafayette,lafayette
lamont,monty
lamont,lamont
laurence,larry
laurence,lon
laurence,lonny
laurence,lorne
laurence,lorry
laurence,laurence
lavina,ina
lavina,vina
lavina,viney
lavina,lavina
lavinia,ina
lavinia,vina
lavinia,viney
lavinia,lavinia
lawrence,larry
lawrence,lon
lawrence,lonny
lawrence,lorne
lawrence,lorry
lawrence,lawrence
lemuel,lem
lemuel,lemuel
lena,ellen
lena,lena
lenora,lee
lenora,nora
lenora,lenora
leo,leon
leo,leo
leonard,len
leonard,lenny
leonard,leo
leonard,leon
leonard,lineau
leonard,leonard
leroy,l.r.
leroy,lee
leroy,roy
leroy,leroy
leslie,les
leslie,leslie
lester,les
lester,lester
letitia,lettice
letitia,lettie
letitia,tish
letitia,titia
letitia,letitia
levi,lee
levi,levi
lib,libby
lib,lib
lidia,lyddy
lidia,lidia
lil,lilly
lil,lily
lil,lil
lillah,lil
lillah,lilly
lillah,lily
lillah,lolly
lillah,lillah
lillian,lil
lillian,lilly
lillian,lolly
lillian,lillian
lilly,lily
lilly,lilly
lincoln,link
lincoln,lincoln
linda,lindy
linda,lynn
linda,linda
lindy,lynn
lindy,lindy
lisa,alice
lisa,melissa
lisa,liz
lisa,lizzie
lisa,lisa
lizzie,liz
lizzie,lizzie
lois,louise
lois,lou
lois,lois
lon,lonzo
lon,lon
lorenzo,loren
lorenzo,lorenzo
loretta,etta
loretta,lorrie
loretta,retta
loretta,loretta
lorraine,lorrie
lorraine,lorraine
lotta,lottie
lotta,lotta
lou,lu
lou,lou
louisa,eliza
louisa,lois
louisa,lou
louisa,louisa
louise,eliza
louise,lois
louise,lou
louise,louise
lucas,luke
lucas,lucas
lucias,luke
lucias,lucias
lucille,cille
lucille,lou
lucille,lu
lucille,lucy
lucille,lucille
lucinda,cindy
lucinda,lou
lucinda,lu
lucinda,lucy
lucinda,lucinda
luella,ella
luella,lu
luella,lula
luella,luella
luther,luke
luther,luther
lydia,lyddy
lydia,lydia
lyndon,lindy
lyndon,lynn
lyndon,lyndon
maddy,madge
maddy,maddy
madeline,lena
madeline,maddy
madeline,madge
madeline,magda
madeline,maggie
madeline,madeline
magdelina,lena
magdelina,madge
magdelina,magda
magdelina,magdelina
mahala,hallie
mahala,mahala
manda,mandy
manda,manda
manny,manuel
manny,manny
marcus,mark
marcus,marcus
margaret,daisy
margaret,gretta
margaret,madge
margaret,maggie
margaret,maggy
margaret,marge
margaret,margery
margaret,margie
margaret,margy
margaret,meg
margaret,midge
margaret,peg
margaret,peggy
margaret,rita
margaret,margaret
margaretta,daisy
margaretta,gretta
margaretta,madge
margaretta,maggie
margaretta,marge
margaretta,margery
margaretta,margie
margaretta,meg
margaretta,midge
margaretta,peg
margaretta,peggy
margaretta,rita
margaretta,margaretta
marge,margery
marge,marge
margie,margie
margie,margie
marjorie,margie
marjorie,margy
marjorie,marjorie
martha,marty
martha,mat
martha,mattie
martha,patsy
martha,patty
martha,martha
martin,marty
martin,martin
martina,tina
martina,martina
marvin,marv
marvin,marvin
mary,mae
mary,mamie
mary,mitzi
mary,molly
mary,polly
mary,mary
mat,mattie
mat,mat
matilda,matty
matilda,maud
matilda,tilly
matilda,matilda
matthew,matt
matthew,mattie
matthew,matty
matthew,thias
matthew,thys
matthew,matthew
matthias,matt
matthias,thias
matthias,thys
matthias,matthias
maurice,morey
maurice,maurice
mehitabel,hetty
mehitabel,hitty
mehitabel,mabel
mehitabel,mitty
mehitabel,mehitabel
melinda,linda
melinda,lindy
melinda,lynn
melinda,mel
melinda,mindy
melinda,melinda
melissa,lisa
melissa,lissa
melissa,mel
melissa,milly
melissa,missy
melissa,melissa
mervyn,merv
mervyn,mervyn
michael,micah
michael,mick
michael,micky
michael,mike
michael,michael
michelle,mickey
michelle,michelle
mick,micky
mick,mick
mike,mick
mike,micky
mike,mike
mildred,milly
mildred,mildred
millicent,milly
millicent,missy
millicent,millicent
minerva,minnie
minerva,minerva
miranda,mandy
miranda,mira
miranda,randy
miranda,miranda
miriam,mimi
miriam,mitzi
miriam,miriam
mitchell,mitch
mitchell,mitchell
montgomery,gum
montgomery,monty
montgomery,montgomery
morris,morey
morris,morris
nancy,ann
nancy,nan
nancy,nanny
nancy,nancy
napoleon,leon
napoleon,nap
napoleon,nappy
napoleon,napoleon
natalie,natty
natalie,nettie
natalie,natalie
nathan,nat
nathan,nate
nathan,nathan
nathaniel,nat
nathaniel,nate
nathaniel,nathan
nathaniel,natty
nathaniel,than
nathaniel,nathaniel
nelle,nelly
nelle,nelle
nicholas,claas
nicholas,claes
nicholas,nick
nicholas,nicholas
nick,nik
nick,nick
nik,nik
norbert,bert
norbert,norby
norbert,norbert
obadiah,diah
obadiah,dyer
obadiah,obed
obadiah,obie
obadiah,obadiah
olive,livia
olive,nollie
olive,ollie
olive,olive
oliver,ollie
oliver,oliver
olivia,livia
olivia,nollie
olivia,ollie
olivia,olivia
ossy,ozzy
ossy,ossy
oswald,ossy
oswald,ozzy
oswald,waldo
oswald,oswald
pamela,pam
pamela,pamela
parmelia,amelia
parmelia,melia
parmelia,milly
parmelia,parmelia
pat,pat
pat,pat
patience,pat
patience,patty
patience,patience
patricia,pat
patricia,patsy
patricia,patty
patricia,tricia
patricia,patricia
patrick,paddy
patrick,pat
patrick,pate
patrick,patsy
patrick,peter
patrick,patrick
patsy,patty
patsy,patsy
paula,lina
paula,polly
paula,paula
paulina,lina
paulina,polly
paulina,paulina
peg,peggy
peg,peg
pelegrine,perry
pelegrine,pelegrine
penelope,penny
penelope,penelope
percival,percy
percival,percival
peter,pate
peter,pete
peter,peter
philetus,leet
philetus,phil
philetus,philetus
philinda,linda
philinda,lindy
philinda,lynn
philinda,philinda
philip,phil
philip,philip
phillip,phil
phillip,phillip
philly,delphia
philly,philly
prescott,pres
prescott,scott
prescott,scotty
prescott,prescott
priscilla,cilla
priscilla,cissy
priscilla,prissy
priscilla,priscilla
prudence,prudy
prudence,prue
prudence,prudence
rachel,shelly
rachel,rachel
rafaela,rafa
rafaela,rafaela
randolph,dolph
randolph,randy
randolph,randolph
raphael,ralph
raphael,raphael
raymond,ray
raymond,raymond
reba,becca
reba,beck
reba,reba
rebecca,becca
rebecca,beck
rebecca,becky
rebecca,reba
rebecca,rebecca
reg,reggie
reg,reg
regina,gina
regina,reggie
regina,regina
reginald,naldo
reginald,reg
reginald,reggie
reginald,renny
reginald,reginald
relief,leafa
relief,relief
reuben,rube
reuben,reuben
ricardo,rick
ricardo,ricky
ricardo,ricardo
rich,riche
rich,rick
rich,dick
rich,rich
richard,dick
richard,dickie
richard,dickon
richard,dicky
richard,rich
richard,rick
richard,ricky
richard,richard
rick,ricky
rick,rick
ricky,dick
ricky,rich
ricky,ricky
robert,bob
robert,bobby
robert,dob
robert,dobbin
robert,hob
robert,hobkin
robert,rob
robert,robert
roberta,bert
roberta,bertie
roberta,birdie
roberta,bobbie
roberta,robbie
roberta,roberta
rodger,bobby
rodger,hodge
rodger,robby
rodger,robin
rodger,rod
rodger,roge
rodger,rupert
rodger,rodger
roger,bobby
roger,hodge
roger,robby
roger,robin
roger,rod
roger,roge
roger,rupert
roger,roger
roland,lanny
roland,orlando
roland,rollo
roland,rolly
roland,roland
ron,ronnie
ron,ronny
ron,ron
ronald,naldo
ronald,ron
ronald,ronny
ronald,ronald
rosa,rose
rosa,rosa
rosabel,belle
rosabel,rosa
rosabel,rose
rosabel,roz
rosabel,rosabel
rosabella,belle
rosabella,rosa
rosabella,rose
rosabella,roz
rosabella,rosabella
rosalinda,linda
rosalinda,rosa
rosalinda,rose
rosalinda,roz
rosalinda,rosalinda
rosalyn,linda
rosalyn,rosa
rosalyn,rose
rosalyn,roz
rosalyn,rosalyn
rose,rosie
rose,rose
roseann,ann
roseann,rose
roseann,rosie
roseann,roz
roseann,roseann
roseanna,ann
roseanna,rose
roseanna,rosie
roseanna,roz
roseanna,roseanna
roseanne,ann
roseanne,roseanne
roxanna,ann
roxanna,rose
roxanna,roxie
roxanna,roxanna
roxanne,ann
roxanne,rose
roxanne,roxie
roxanne,roxanne
rudolph,dolph
rudolph,olph
rudolph,rolf
rudolph,rudy
rudolph,rudolph
rudolphus,dolph
rudolphus,olph
rudolphus,rolf
rudolphus,rudy
rudolphus,rudolphus
russell,russ
russell,rusty
russell,russell
sabrina,brina
sabrina,sabrina
sam,sammy
sam,sam
samuel,sam
samuel,sammy
samuel,samuel
sandra,cassandra
sandra,sandy
sandra,sandra
sarah,sadie
sarah,sally
sarah,sarah
serena,rena
serena,serena
seymour,morey
seymour,see
seymour,seymour
shelton,shel
shelton,shelly
shelton,tony
shelton,shelton
sheridan,dan
sheridan,danny
sheridan,sher
sheridan,sheridan
sheryl,sher
sheryl,sheryl
shirley,lee
shirley,sherry
shirley,shirl
shirley,shirley
sidney,sid
sidney,syd
sidney,sidney
silas,si
silas,silas
simeon,si
simeon,sion
simeon,simeon
simon,si
simon,sion
simon,simon
smith,smitty
smith,smith
solomon,sal
solomon,salmon
solomon,saul
solomon,sol
solomon,solly
solomon,zolly
solomon,solomon
sophia,sophie
sophia,sophia
stephan,steve
stephan,stephan
stephen,steph
stephen,steve
stephen,stephen
steven,steph
steven,steve
steven,steven
stuart,stu
stuart,stuart
submit,mitty
submit,submit
sue,susie
sue,sue
sullivan,sully
sullivan,van
sullivan,sullivan
susan,hannah
susan,sue
susan,sukey
susan,susie
susan,suzie
susan,susan
susannah,hannah
susannah,sue
susannah,sukey
susannah,susie
susannah,susannah
susie,suzie
susie,susie
sylvester,si
sylvester,sly
sylvester,sy
sylvester,syl
sylvester,vessie
sylvester,vester
sylvester,vet
sylvester,sylvester
tabitha,tabby
tabitha,tabitha
ted,teddy
ted,ted
terence,terry
terence,terence
teresa,terry
teresa,teresa
thaddeus,thad
thaddeus,thaddeus
theodore,ted
theodore,teddy
theodore,theo
theodore,theodore
theresa,terry
theresa,tess
theresa,tessa
theresa,tessie
theresa,thirza
theresa,thursa
theresa,tracy
theresa,theresa
thom,tom
thom,tommy
thom,thom
thomas,thom
thomas,tom
thomas,tommy
thomas,thomas
tim,timmy
tim,tim
timothy,tim
timothy,timmy
timothy,timothy
tobias,bias
tobias,toby
tobias,tobias
tom,tommy
tom,tom
trix,trixie
trix,trix
tryphena,phena
tryphena,tryphena
uriah,riah
uriah,uriah
valentine,felty
valentine,valentine
valeri,val
valeri,valeri
valerie,val
valerie,valerie
vanessa,essa
vanessa,nessa
vanessa,vanna
vanessa,vanessa
veronica,franky
veronica,frony
veronica,ron
veronica,ronie
veronica,ronna
veronica,ronnie
veronica,vonnie
veronica,veronica
vic,vicki
vic,vicky
vic,vic
vicki,vicky
vicki,vicki
victor,vic
